num_keys,num_queries,num_experiments,exist_ratio,vblink_slab_in_place_insert,vblink_slab_in_place_find,vblink_bump_in_place_insert,vblink_bump_in_place_find,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_find,vblink_bump_out_of_place_insert,vblink_bump_out_of_place_find,blink_slab_insert,blink_slab_find,blink_bump_insert,blink_bump_find,
1000000,1000000,20,1,68.1058,1699.4,86.9489,2229.59,57.1895,1944.76,62.4411,2182.99,84.7082,2433.5,80.664,2861.72,
2000000,2000000,20,1,130.372,1979.85,150.182,2223.63,87.4633,1979.85,89.9941,2216.06,132.925,2207.05,144.258,2521.95,
3000000,3000000,20,1,144.869,2008.84,165.251,2237.43,127.443,2007.6,137.628,2231.97,172.039,2230.27,173.731,2527.66,
4000000,4000000,20,1,192.036,2015.92,213.526,2237.64,127.263,2018.37,166.406,2233.29,196.124,2242.27,203.063,2524.89,
5000000,5000000,20,1,222.871,2022.04,165.957,2233.67,164.388,2020.03,176.178,2229.65,224.982,2245.07,228.497,2517.89,
6000000,6000000,20,1,231.278,2020.65,267.477,2228.03,162.134,2021.07,143.859,2224.73,243.914,2243.98,251.18,2507.22,
7000000,7000000,20,1,258.275,2015.55,276.63,2221.59,179.212,2018.55,166.247,2219.46,258.805,2241.55,264.124,2497.69,
8000000,8000000,20,1,262.041,1972.36,295.449,2175.67,191.014,1971.04,222.652,2178.92,279.068,2237.29,222.326,2488.22,
9000000,9000000,20,1,245.964,1695.27,306.003,2009.73,193.524,1826.01,221.354,2008.17,282.201,2232.14,284.728,2479.07,
10000000,10000000,20,1,253.427,1627.77,323.149,1997.59,207.185,1806.53,231.705,1995.65,287.66,2228.25,283.973,2471.5,
11000000,11000000,20,1,257.287,1668.61,324.271,1994.61,216.632,1804.27,203.774,1993.19,296.032,2224.72,316.23,2463.89,
12000000,12000000,20,1,263.205,1667.3,329.25,1991.65,213.141,1803.04,226.744,1990.16,301.682,2221.21,325.616,2456.76,
13000000,13000000,20,1,278.252,1731.27,227.05,1988.54,220.714,1801.88,234.756,1987.45,309.942,2218.49,337.699,2437.19,
14000000,14000000,20,1,278.564,1665.33,335.739,1984.93,219.657,1800.54,239.691,1984.55,319.655,2123.23,330.591,2354.18,
15000000,15000000,20,1,289.525,1729.61,353.6,1982.59,227.641,1799.19,260.558,1981.39,320.517,2035.55,340.912,2307.62,
16000000,16000000,20,1,283.477,1706.34,355.769,1979.7,227.875,1797.54,250.13,1977.77,324.757,2014.86,348.029,2242.68,
