initial_tree_size,num_updates,num_queries,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
45000000,50000,950000,20,329.449,304.752,356.098,365.658,
45000000,100000,1900000,20,332.219,387.133,304.584,472.277,
45000000,150000,2850000,20,256.023,451.812,351.107,513.877,
45000000,200000,3800000,20,326.842,456.898,351.746,570.755,
45000000,250000,4750000,20,320.416,388.678,356.302,572.845,
45000000,300000,5700000,20,325.552,413.579,352.555,583.208,
45000000,350000,6650000,20,327.71,412.989,354.957,595.919,
45000000,400000,7600000,20,331.824,461.477,355.247,619.663,
45000000,450000,8550000,20,327.963,425.459,358.536,620.957,
45000000,500000,9500000,20,315.971,484.722,359.506,639.421,
45000000,550000,10450000,20,329.603,468.965,359.823,639.465,
45000000,600000,11400000,20,317.956,540.539,358.767,622.359,
45000000,650000,12350000,20,325.08,498.574,357.813,638.634,
45000000,700000,13300000,20,325.692,476.22,357.11,637.058,
45000000,750000,14250000,20,327.407,587.505,362.127,653.698,
45000000,800000,15200000,20,332.753,579.324,279.921,661.657,
45000000,850000,16150000,20,329.439,597.23,365.29,655.983,
45000000,900000,17100000,20,326.975,476.637,355.189,639.399,
45000000,950000,18050000,20,318.897,456.227,354.884,651.723,
45000000,1000000,19000000,20,326.474,580.387,226.34,668.351,
45000000,1050000,19950000,20,329.147,492.897,357.613,663.061,
45000000,1100000,20900000,20,330.451,469.144,360.339,648.042,
45000000,1150000,21850000,20,335.031,593.08,362.87,667.959,
45000000,1200000,22800000,20,329.379,458.616,348.337,637.944,
45000000,1250000,23750000,20,331.27,521.84,353.376,645.713,
45000000,1300000,24700000,20,331.582,595.356,363.827,656.872,
45000000,1350000,25650000,20,333.826,517.89,316.951,648.438,
45000000,1400000,26600000,20,334.963,594.341,363.122,685.718,
45000000,1450000,27550000,20,327.66,446.561,358.34,665.729,
45000000,1500000,28500000,20,328.473,496.272,354.589,649.511,
45000000,1550000,29450000,20,331.017,490.326,359.898,665.328,
45000000,1600000,30400000,20,327.505,461.239,353.174,642.982,
45000000,1650000,31350000,20,332.56,614.002,363.611,680.045,
45000000,1700000,32300000,20,332.657,562.497,365.897,667.824,
45000000,1750000,33250000,20,326.918,489.01,355.114,664.618,
45000000,1800000,34200000,20,325.214,477.608,356.314,643.779,
45000000,1850000,35150000,20,330.075,458.31,277.309,657.269,
45000000,1900000,36100000,20,335.522,582.33,357.396,652.392,
45000000,1950000,37050000,20,330.579,603.03,362.066,688.844,
45000000,2000000,38000000,20,325.502,449.238,353.869,665.323,
45000000,2050000,38950000,20,331.717,455.553,356.038,652.251,
45000000,2100000,39900000,20,303.694,550.773,365.77,669.502,
45000000,2150000,40850000,20,329.797,449.745,352.626,640.15,
45000000,2200000,41800000,20,326.996,521.379,363.127,692.062,
45000000,2250000,42750000,20,320.942,495.098,358.329,677.483,
