initial_tree_size,num_insertions,num_range_query,num_experiments,epoch_number,pointers_count,pointers_allocated_total,ratio,tree_gibs,
45000000,22500000,22500000,1,0,5190106,5190106,1,0.618709,
45000000,22500000,22500000,1,1,5274830,5274829,1,0.628809,
45000000,22500000,22500000,1,2,5347061,5347061,1,0.637419,
45000000,22500000,22500000,1,3,5356402,5416023,0.988992,0.638533,
45000000,22500000,22500000,1,4,5366874,5486076,0.978272,0.639781,
45000000,22500000,22500000,1,5,5376406,5555078,0.967836,0.640918,
45000000,22500000,22500000,1,6,5387314,5625422,0.957673,0.642218,
45000000,22500000,22500000,1,7,5396931,5694529,0.94774,0.643364,
45000000,22500000,22500000,1,8,5407901,5765727,0.937939,0.644672,
45000000,22500000,22500000,1,9,5413560,5834195,0.927902,0.645347,
45000000,22500000,22500000,1,10,5421198,5905476,0.917995,0.646257,
45000000,22500000,22500000,1,11,5426004,5977550,0.90773,0.64683,
45000000,22500000,22500000,1,12,5434651,6048797,0.898468,0.647861,
45000000,22500000,22500000,1,13,5442308,6122070,0.888965,0.648774,
45000000,22500000,22500000,1,14,5451376,6195666,0.879869,0.649855,
45000000,22500000,22500000,1,15,5458654,6266408,0.871098,0.650722,
45000000,22500000,22500000,1,16,5464619,6341725,0.861693,0.651433,
45000000,22500000,22500000,1,17,5467187,6414925,0.85226,0.651739,
45000000,22500000,22500000,1,18,5472496,6487432,0.843554,0.652372,
45000000,22500000,22500000,1,19,5473298,6555900,0.834866,0.652468,
45000000,22500000,22500000,1,20,5478543,6627147,0.826682,0.653093,
45000000,22500000,22500000,1,21,5484363,6698310,0.818768,0.653787,
45000000,22500000,22500000,1,22,5493265,6769136,0.811516,0.654848,
45000000,22500000,22500000,1,23,5497621,6838072,0.803972,0.655367,
45000000,22500000,22500000,1,24,5505109,6912147,0.79644,0.65626,
45000000,22500000,22500000,1,25,5514855,6985501,0.789472,0.657422,
45000000,22500000,22500000,1,26,5526054,7059158,0.782821,0.658757,
45000000,22500000,22500000,1,27,5531993,7131965,0.775662,0.659465,
45000000,22500000,22500000,1,28,5533199,7201552,0.768334,0.659609,
45000000,22500000,22500000,1,29,5537874,7274650,0.761256,0.660166,
45000000,22500000,22500000,1,30,5544322,7348772,0.754456,0.660935,
45000000,22500000,22500000,1,31,5555225,7422732,0.748407,0.662234,
45000000,22500000,22500000,1,32,5558385,7491843,0.741925,0.662611,
45000000,22500000,22500000,1,33,5562282,7562738,0.735485,0.663076,
45000000,22500000,22500000,1,34,5565000,7634320,0.728945,0.6634,
45000000,22500000,22500000,1,35,5572292,7703982,0.7233,0.664269,
45000000,22500000,22500000,1,36,5581157,7777397,0.717612,0.665326,
45000000,22500000,22500000,1,37,5587783,7850071,0.711813,0.666116,
45000000,22500000,22500000,1,38,5595530,7923401,0.706203,0.667039,
45000000,22500000,22500000,1,39,5599111,7993491,0.700459,0.667466,
45000000,22500000,22500000,1,40,5605708,8066107,0.694971,0.668252,
45000000,22500000,22500000,1,41,5607491,8133871,0.6894,0.668465,
45000000,22500000,22500000,1,42,5617069,8205801,0.684524,0.669607,
45000000,22500000,22500000,1,43,5620923,8275037,0.679263,0.670066,
45000000,22500000,22500000,1,44,5629275,8347092,0.6744,0.671062,
45000000,22500000,22500000,1,45,5635018,8419052,0.669317,0.671746,
45000000,22500000,22500000,1,46,5645069,8492315,0.664727,0.672945,
45000000,22500000,22500000,1,47,5654319,8568101,0.659927,0.674047,
45000000,22500000,22500000,1,48,5662503,8643339,0.655129,0.675023,
45000000,22500000,22500000,1,49,5671441,8717476,0.650583,0.676088,
45000000,22500000,22500000,1,50,5673607,8789835,0.645474,0.676347,
45000000,22500000,22500000,1,51,5682708,8868216,0.640795,0.677432,
45000000,22500000,22500000,1,52,5685361,8939041,0.636015,0.677748,
45000000,22500000,22500000,1,53,5691131,9009778,0.631662,0.678436,
45000000,22500000,22500000,1,54,5690964,9081164,0.626678,0.678416,
45000000,22500000,22500000,1,55,5700018,9154300,0.62266,0.679495,
45000000,22500000,22500000,1,56,5705378,9224831,0.61848,0.680134,
45000000,22500000,22500000,1,57,5712297,9298751,0.614308,0.680959,
45000000,22500000,22500000,1,58,5718157,9370905,0.610203,0.681657,
45000000,22500000,22500000,1,59,5725569,9442728,0.606347,0.682541,
45000000,22500000,22500000,1,60,5733458,9517772,0.602395,0.683481,
45000000,22500000,22500000,1,61,5742429,9592285,0.598651,0.684551,
45000000,22500000,22500000,1,62,5754760,9669712,0.595133,0.686021,
45000000,22500000,22500000,1,63,5757029,9740607,0.591034,0.686291,
45000000,22500000,22500000,1,64,5758978,9809922,0.587056,0.686524,
45000000,22500000,22500000,1,65,5758344,9881996,0.582711,0.686448,
45000000,22500000,22500000,1,66,5767962,9955103,0.579398,0.687595,
45000000,22500000,22500000,1,67,5777655,10027826,0.576162,0.68875,
45000000,22500000,22500000,1,68,5783448,10101605,0.572528,0.689441,
45000000,22500000,22500000,1,69,5787677,10173450,0.5689,0.689945,
45000000,22500000,22500000,1,70,5795683,10246875,0.565605,0.690899,
45000000,22500000,22500000,1,71,5800338,10318234,0.562144,0.691454,
45000000,22500000,22500000,1,72,5804022,10387275,0.558763,0.691893,
45000000,22500000,22500000,1,73,5808906,10458766,0.55541,0.692476,
45000000,22500000,22500000,1,74,5815254,10530496,0.55223,0.693232,
45000000,22500000,22500000,1,75,5820884,10601009,0.549088,0.693903,
45000000,22500000,22500000,1,76,5827159,10671725,0.546037,0.694651,
45000000,22500000,22500000,1,77,5833439,10742981,0.543,0.6954,
45000000,22500000,22500000,1,78,5836283,10810939,0.53985,0.695739,
45000000,22500000,22500000,1,79,5848538,10887672,0.537171,0.6972,
45000000,22500000,22500000,1,80,5857527,10962487,0.534325,0.698272,
45000000,22500000,22500000,1,81,5873807,11042111,0.531946,0.700212,
45000000,22500000,22500000,1,82,5876449,11113781,0.528753,0.700527,
45000000,22500000,22500000,1,83,5880600,11185283,0.525744,0.701022,
45000000,22500000,22500000,1,84,5879355,11256813,0.522293,0.700874,
45000000,22500000,22500000,1,85,5888481,11331445,0.519658,0.701962,
45000000,22500000,22500000,1,86,5894691,11402779,0.516952,0.702702,
45000000,22500000,22500000,1,87,5901850,11475754,0.514289,0.703555,
45000000,22500000,22500000,1,88,5908530,11550178,0.511553,0.704352,
45000000,22500000,22500000,1,89,5912068,11621168,0.508733,0.704773,
45000000,22500000,22500000,1,90,5919166,11694069,0.506168,0.70562,
45000000,22500000,22500000,1,91,5925133,11767192,0.50353,0.706331,
45000000,22500000,22500000,1,92,5933750,11840672,0.501133,0.707358,
45000000,22500000,22500000,1,93,5943441,11916329,0.498764,0.708513,
45000000,22500000,22500000,1,94,5944828,11986560,0.495958,0.708679,
45000000,22500000,22500000,1,95,5949574,12057897,0.493417,0.709244,
45000000,22500000,22500000,1,96,5953694,12130045,0.490822,0.709736,
45000000,22500000,22500000,1,97,5959242,12200277,0.488451,0.710397,
45000000,22500000,22500000,1,98,5963612,12269987,0.486032,0.710918,
45000000,22500000,22500000,1,99,5969271,12342031,0.483654,0.711593,
45000000,22500000,22500000,1,100,5975165,12413101,0.48136,0.712295,
45000000,22500000,22500000,1,101,5982783,12484909,0.479201,0.713203,
45000000,22500000,22500000,1,102,5990309,12557533,0.477029,0.7141,
45000000,22500000,22500000,1,103,5996963,12628942,0.474859,0.714894,
45000000,22500000,22500000,1,104,5999425,12696147,0.472539,0.715187,
45000000,22500000,22500000,1,105,6003135,12766004,0.470244,0.715629,
45000000,22500000,22500000,1,106,6009707,12837078,0.468152,0.716413,
45000000,22500000,22500000,1,107,6019541,12909615,0.466284,0.717585,
45000000,22500000,22500000,1,108,6028251,12981957,0.464356,0.718624,
45000000,22500000,22500000,1,109,6035965,13055403,0.462335,0.719543,
45000000,22500000,22500000,1,110,6045115,13129805,0.460412,0.720634,
45000000,22500000,22500000,1,111,6051240,13203194,0.458316,0.721364,
45000000,22500000,22500000,1,112,6055112,13275618,0.456108,0.721826,
45000000,22500000,22500000,1,113,6058886,13347312,0.453941,0.722275,
45000000,22500000,22500000,1,114,6066503,13421133,0.452011,0.723184,
45000000,22500000,22500000,1,115,6072059,13493375,0.450003,0.723846,
45000000,22500000,22500000,1,116,6077442,13562786,0.448097,0.724488,
45000000,22500000,22500000,1,117,6083228,13637992,0.44605,0.725177,
45000000,22500000,22500000,1,118,6088761,13708403,0.444163,0.725837,
45000000,22500000,22500000,1,119,6096958,13779354,0.442471,0.726814,
45000000,22500000,22500000,1,120,6100585,13852768,0.440387,0.727246,
45000000,22500000,22500000,1,121,6113584,13930100,0.438876,0.728796,
45000000,22500000,22500000,1,122,6121101,14002433,0.437146,0.729692,
45000000,22500000,22500000,1,123,6123530,14071241,0.435181,0.729982,
