initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
40000000,900000,100000,20,327.949,176.728,356.4,241.867,
40000000,1800000,200000,20,323.627,202.562,361.722,308.68,
40000000,2700000,300000,20,322.778,202.436,359.39,311.704,
40000000,3600000,400000,20,261.579,215.59,351.401,319.77,
40000000,4500000,500000,20,331.409,217.541,355.62,346.339,
40000000,5400000,600000,20,326.937,213.115,350.798,327.812,
40000000,6300000,700000,20,326.888,220.803,350.703,318.913,
40000000,7200000,800000,20,267.278,222.517,360.131,333.307,
40000000,8100000,900000,20,328.534,217.577,355.148,328.776,
40000000,9000000,1000000,20,325.73,217.49,350.915,327.054,
40000000,9900000,1100000,20,316.511,220.633,356.727,365.536,
40000000,10800000,1200000,20,279.579,223.652,358.319,353.037,
40000000,11700000,1300000,20,332.75,224.287,281.385,347.518,
40000000,12600000,1400000,20,326.683,222.485,353.607,350.373,
40000000,13500000,1500000,20,326.851,224.544,347.744,320.491,
40000000,14400000,1600000,20,323.809,225.394,349.86,326.339,
40000000,15300000,1700000,20,325.077,225.559,356.541,354.32,
40000000,16200000,1800000,20,330.415,225.228,363.507,386.006,
40000000,17100000,1900000,20,260.751,226.012,357.899,358.46,
40000000,18000000,2000000,20,328.578,226.212,355.437,347.211,
40000000,18900000,2100000,20,327.208,225.705,352.87,348.307,
40000000,19800000,2200000,20,324.551,226.278,350.96,322.016,
40000000,20700000,2300000,20,322.767,226.86,346.814,312.315,
40000000,21600000,2400000,20,332.309,223.235,346.727,324.457,
40000000,22500000,2500000,20,326.103,227.193,353.342,339.195,
40000000,23400000,2600000,20,333,226.167,361.721,376.867,
40000000,24300000,2700000,20,321.264,227.195,356.828,363.405,
40000000,25200000,2800000,20,324.395,226.298,347.561,332.447,
40000000,26100000,2900000,20,303.878,227.352,359.232,358.93,
40000000,27000000,3000000,20,322.609,225.239,358.238,351.348,
40000000,27900000,3100000,20,285.784,226.565,310.616,361.561,
40000000,28800000,3200000,20,319.306,227.398,355.496,355.29,
40000000,29700000,3300000,20,331.379,226.266,357.744,347.907,
40000000,30600000,3400000,20,330.457,227.719,307.368,313.703,
40000000,31500000,3500000,20,313.154,227.765,332.388,360.682,
40000000,32400000,3600000,20,308.759,227.211,351.515,366.022,
40000000,33300000,3700000,20,324.826,227.038,351.876,341.309,
40000000,34200000,3800000,20,304.943,227.834,229.246,353.905,
40000000,35100000,3900000,20,324.708,227.264,355.068,349.123,
40000000,36000000,4000000,20,325.205,226.477,357.882,356.699,
40000000,36900000,4100000,20,329.425,227.625,362.743,379.703,
40000000,37800000,4200000,20,320.007,226.21,346.812,341.823,
40000000,38700000,4300000,20,327.91,227.217,359.226,379.567,
40000000,39600000,4400000,20,245.529,227.062,359.271,372.358,
40000000,40500000,4500000,20,311.782,226.258,357.193,351.952,
