initial_tree_size,num_insertions,num_range_query,average_range_length,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
40000000,2500000,2500000,4,20,327.957,231.576,355.14,312.115,
40000000,2500000,2500000,8,20,328.41,228.674,347.144,301.882,
40000000,2500000,2500000,12,20,324.73,228.065,355.02,319.674,
40000000,2500000,2500000,16,20,321.49,221.57,330.106,305.077,
40000000,2500000,2500000,20,20,325.069,220.776,311.783,302.138,
40000000,2500000,2500000,24,20,327.91,219.773,358.8,304.337,
40000000,2500000,2500000,28,20,326.837,220.186,347.929,300.34,
40000000,2500000,2500000,32,20,322.848,218.187,359.913,310.463,
40000000,2500000,2500000,36,20,325.059,223.103,357.42,315.91,
40000000,2500000,2500000,40,20,239.681,222.138,257.791,336.752,
40000000,2500000,2500000,44,20,329.816,216.94,354.478,296.151,
40000000,2500000,2500000,48,20,327.097,213.079,360.125,354.031,
40000000,2500000,2500000,52,20,326.174,215.449,353.056,286.608,
40000000,2500000,2500000,56,20,325.437,213.848,359.534,326.109,
40000000,2500000,2500000,60,20,324.378,217.481,349.982,314.956,
40000000,2500000,2500000,64,20,328.427,213.234,360.633,334.98,
40000000,2500000,2500000,68,20,304.896,214.725,357.439,296.421,
40000000,2500000,2500000,72,20,327.31,214.103,353.336,295.446,
40000000,2500000,2500000,76,20,327.425,213.729,347.178,274.077,
40000000,2500000,2500000,80,20,327.993,213.071,345.094,273.147,
40000000,2500000,2500000,84,20,328.417,207.968,357.209,277.946,
40000000,2500000,2500000,88,20,321.884,210.397,361.171,338.782,
40000000,2500000,2500000,92,20,326.402,206.963,353.217,291.97,
40000000,2500000,2500000,96,20,324.997,209.859,355.867,273.042,
40000000,2500000,2500000,100,20,327.08,207.843,356.282,269.521,
40000000,2500000,2500000,104,20,261.795,203.854,356.916,288.6,
40000000,2500000,2500000,108,20,329.43,207.39,359.454,294.45,
40000000,2500000,2500000,112,20,332.412,204.131,360.866,324.22,
40000000,2500000,2500000,116,20,323.486,205.642,357.54,297.428,
40000000,2500000,2500000,120,20,323.512,203.699,354.565,273.21,
40000000,2500000,2500000,124,20,324.826,200.653,352.397,262.41,
40000000,2500000,2500000,128,20,330.616,198.997,357.816,283.619,
40000000,2500000,2500000,132,20,324.681,197.235,354.634,252.692,
40000000,2500000,2500000,136,20,325.328,189.228,359.874,297.723,
40000000,2500000,2500000,140,20,324.684,185.404,353.172,266.077,
40000000,2500000,2500000,144,20,329.991,182.75,354.178,263.688,
40000000,2500000,2500000,148,20,322.886,185.228,345.674,227.847,
40000000,2500000,2500000,152,20,333.405,182.023,361.396,278.485,
40000000,2500000,2500000,156,20,307.994,178.738,354.972,249.192,
