num_keys,num_queries,num_experiments,exist_ratio,vblink_slab_in_place_insert,vblink_slab_in_place_find,vblink_bump_in_place_insert,vblink_bump_in_place_find,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_find,vblink_bump_out_of_place_insert,vblink_bump_out_of_place_find,blink_slab_insert,blink_slab_find,blink_bump_insert,blink_bump_find,
1000000,1000000,20,1,86.4108,1999.51,88.147,2224.01,57.4636,1992.58,65.2388,2207.92,96.5751,2188.62,95.4336,2431.07,
2000000,2000000,20,1,140.339,1924.17,148.356,2074.81,76.2467,1927.49,99.2845,2035.57,142.153,1975.85,147.344,2179.71,
3000000,3000000,20,1,159.75,1812.08,174.957,1911.83,86.0746,1799.45,116.392,1872.36,171.244,1880.29,180.744,2017.14,
4000000,4000000,20,1,178.679,1735.65,205.037,1797.67,90.4926,1727.28,127.654,1765.78,194.46,1802.65,203.216,1889.5,
5000000,5000000,20,1,194.683,1664.67,224.305,1716.46,97.2535,1662.38,137.031,1691.93,210.177,1732.23,223.9,1803.01,
6000000,6000000,20,1,202.323,1620.38,235.854,1653.46,100.321,1610.4,141.737,1630.62,220.216,1681.65,236.072,1738.38,
7000000,7000000,20,1,211.506,1573.31,249.464,1599.78,101.417,1617.53,139.028,1592.31,234.579,1647.21,256.748,1681.95,
8000000,8000000,20,1,228.546,1531.55,261.863,1551.65,104.769,1564.6,151.998,1533.32,242.778,1598.48,269.324,1637.05,
9000000,9000000,20,1,228.496,1485,271.236,1504.14,103.374,1610.44,151.938,1487.1,252.117,1587.13,277.148,1596.56,
10000000,10000000,20,1,232.352,1451.02,281.121,1469.86,105.275,1692.82,154.368,1453.52,255.28,1544.13,287.667,1560.86,
11000000,11000000,20,1,230.156,1413.71,286.468,1440.87,106.845,1670.18,148.955,1426.38,262.681,1516.54,294.575,1528.71,
12000000,12000000,20,1,242.261,1403.69,284.963,1414.63,108.889,1657.17,159.089,1401.17,265.91,1478.43,302.87,1499.48,
13000000,13000000,20,1,247.86,1382.71,289.839,1392.16,108.738,1638.52,158.997,1378.44,273.853,1465.95,307.975,1474.75,
14000000,14000000,20,1,238.985,1351.42,297.502,1372.44,108.387,1619.83,159.798,1377.23,272.155,1439.06,312.892,1449.95,
15000000,15000000,20,1,254.07,1347.61,301.541,1354.2,109.471,1607.8,158.639,1422.86,279.564,1405.27,314.888,1425.81,
16000000,16000000,20,1,254.547,1331.39,302.912,1337.29,110.069,1592.91,160.113,1527.92,284.057,1397.83,322.634,1405.77,
17000000,17000000,20,1,246.497,1308.72,307.704,1321.89,109.5,1577,162.918,1600.28,281.695,1372.05,321.164,1388.24,
18000000,18000000,20,1,259.544,1342.45,305.849,1308.25,110.325,1568.05,147.53,1606.38,291.626,1373.38,330.005,1373.52,
19000000,19000000,20,1,253.946,1307.53,309.315,1295.53,111.311,1554.76,164.605,1592.01,288.316,1376.22,332.784,1358.71,
20000000,20000000,20,1,262.298,1344.5,315.504,1283.25,111.358,1545.46,163.366,1580.03,289.767,1337.19,332.666,1345.51,
21000000,21000000,20,1,258.241,1363.89,317.025,1271.82,110.795,1534.77,163.592,1567.75,294.96,1337.91,335.554,1332.64,
22000000,22000000,20,1,264.998,1445.27,322.437,1261.82,111.955,1525.51,165.503,1555.79,296.478,1344.3,338.542,1322.51,
23000000,23000000,20,1,260.876,1466.6,323.987,1251.22,111.38,1513.76,166.619,1544.75,294.895,1420.98,337.523,1310.17,
24000000,24000000,20,1,269.499,1495.99,324.316,1256.26,111.797,1507.37,152.209,1535.13,298.469,1436.51,345.666,1302.21,
25000000,25000000,20,1,263.661,1487.34,323.123,1249.15,112.165,1498.84,166.815,1525.61,303.748,1467.55,344.999,1293.34,
26000000,26000000,20,1,272.402,1494.22,327.191,1233.13,112.765,1491.03,166.986,1516.65,302.084,1515.18,345.888,1290.5,
27000000,27000000,20,1,268.177,1480.92,331.374,1247.11,112.286,1483.45,168.108,1507.24,302.653,1523.47,351.045,1287.18,
28000000,28000000,20,1,275.315,1478.8,332.201,1250.47,112.413,1475.83,167.683,1499.49,302.548,1535.73,345.277,1292.9,
29000000,29000000,20,1,270.003,1461.21,333.114,1294.51,112.407,1467.12,168.039,1490.74,302.259,1527.7,345.52,1295.74,
30000000,30000000,20,1,276.992,1463.85,333.913,1323.86,112.749,1460.09,168.095,1483.47,306.416,1521.68,351.561,1307.47,
31000000,31000000,20,1,273.241,1453.87,338.31,1348.8,112.62,1454.02,167.052,1476.79,305.973,1514.71,354.422,1347.52,
32000000,32000000,20,1,279.947,1450.47,336.251,1374.78,112.978,1447.39,169.094,1469.02,310.193,1509.28,350.601,1379.43,
33000000,33000000,20,1,279.3,1442.3,336.122,1418.88,112.902,1442.71,169.398,1462.19,313.666,1504.72,356.572,1413.59,
34000000,34000000,20,1,284.265,1438.35,336.667,1420.06,112.975,1435.28,169.99,1455.65,311.869,1496.38,354.791,1429.24,
35000000,35000000,20,1,276.351,1427.92,338.537,1440.36,113.063,1428.04,169.57,1449.54,309.34,1489.61,358.843,1428.25,
36000000,36000000,20,1,275.446,1419.75,340.246,1444.63,112.994,1422.69,169.99,1442.78,311.703,1485.35,358.33,1456.6,
37000000,37000000,20,1,288.548,1421.23,342.203,1441.54,113.438,1419.02,170.317,1437.23,317.067,1480.75,357.181,1493,
