initial_tree_size,num_updates,num_queries,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
45000000,900000,100000,20,289.699,224.108,323.16,312.185,
45000000,1800000,200000,20,288.474,277.555,322.127,475.826,
45000000,2700000,300000,20,286.731,310.261,323.835,428.051,
45000000,3600000,400000,20,290.101,367.777,323.273,387.463,
45000000,4500000,500000,20,284.517,375.425,320.982,465.719,
45000000,5400000,600000,20,289.94,347.674,323.439,460.875,
45000000,6300000,700000,20,290.858,348.194,323.183,480.156,
45000000,7200000,800000,20,283.274,370.201,316.847,445.776,
45000000,8100000,900000,20,289.071,376.645,319.061,402.821,
45000000,9000000,1000000,20,283.376,347.743,321.568,464.824,
45000000,9900000,1100000,20,288.024,386.103,320.712,425.197,
45000000,10800000,1200000,20,288.614,360.923,321.15,463.551,
45000000,11700000,1300000,20,283.282,382.719,320.222,443.329,
45000000,12600000,1400000,20,289.989,374.228,324.541,419.771,
45000000,13500000,1500000,20,287.357,374.901,322.178,425.369,
45000000,14400000,1600000,20,289.183,382.099,323.638,463.391,
45000000,15300000,1700000,20,282.531,384.093,320.922,458.917,
45000000,16200000,1800000,20,287.13,377.224,323.095,415.017,
45000000,17100000,1900000,20,288.917,377.424,318.557,428.477,
45000000,18000000,2000000,20,284.337,378.878,318.006,422.283,
45000000,18900000,2100000,20,290.633,395.723,324.456,451.285,
45000000,19800000,2200000,20,286.517,380.489,324.355,457.876,
45000000,20700000,2300000,20,288.906,388.51,323.846,455.332,
45000000,21600000,2400000,20,283.82,386.643,321.537,454.019,
45000000,22500000,2500000,20,290.165,387.633,320.272,425.602,
45000000,23400000,2600000,20,286.444,384.86,323.991,436.248,
45000000,24300000,2700000,20,290.543,384.605,323.543,446.88,
45000000,25200000,2800000,20,290.275,377.522,323.379,455.466,
45000000,26100000,2900000,20,285.875,392.201,325.294,453.612,
45000000,27000000,3000000,20,289.35,389.994,323.438,440.017,
45000000,27900000,3100000,20,287.095,381.162,325.029,449.311,
45000000,28800000,3200000,20,288.772,388.521,321.434,438.293,
45000000,29700000,3300000,20,284.486,383.845,321.729,455.327,
45000000,30600000,3400000,20,288.87,388.204,320.994,435.336,
45000000,31500000,3500000,20,284.524,384.442,322.897,431.823,
45000000,32400000,3600000,20,290.848,388.93,323.765,425.633,
45000000,33300000,3700000,20,283.513,385.432,322.306,444.579,
45000000,34200000,3800000,20,288.73,387.758,318.882,431.872,
45000000,35100000,3900000,20,285.819,391.759,322.949,442.78,
45000000,36000000,4000000,20,290.385,387.005,321.547,428.539,
45000000,36900000,4100000,20,285.337,385.359,321.285,435.609,
45000000,37800000,4200000,20,287.801,381.696,321.933,451.185,
45000000,38700000,4300000,20,287.698,384.314,322.199,448.101,
45000000,39600000,4400000,20,287.595,386.884,319.552,433.827,
45000000,40500000,4500000,20,286.087,390.502,323.795,445.666,
