initial_tree_size,num_insertions,num_range_query,num_experiments,epoch_number,pointers_count,pointers_allocated_total,ratio,tree_gibs,
45000000,22500000,22500000,1,0,5188927,5188927,1,0.618568,
45000000,22500000,22500000,1,1,5307882,5307882,1,0.632749,
45000000,22500000,22500000,1,2,5408581,5408575,1,0.644753,
45000000,22500000,22500000,1,3,5458824,5503116,0.991951,0.650743,
45000000,22500000,22500000,1,4,5472018,5596448,0.977766,0.652315,
45000000,22500000,22500000,1,5,5476149,5696083,0.961389,0.652808,
45000000,22500000,22500000,1,6,5495918,5803471,0.947005,0.655164,
45000000,22500000,22500000,1,7,5504161,5899571,0.932976,0.656147,
45000000,22500000,22500000,1,8,5518144,6003475,0.919158,0.657814,
45000000,22500000,22500000,1,9,5516056,6098020,0.904565,0.657565,
45000000,22500000,22500000,1,10,5533189,6203415,0.891959,0.659608,
45000000,22500000,22500000,1,11,5550402,6314884,0.87894,0.661659,
45000000,22500000,22500000,1,12,5567577,6419853,0.867244,0.663707,
45000000,22500000,22500000,1,13,5576362,6524396,0.854694,0.664754,
45000000,22500000,22500000,1,14,5572485,6622731,0.841418,0.664292,
45000000,22500000,22500000,1,15,5579328,6724031,0.829759,0.665108,
45000000,22500000,22500000,1,16,5589195,6830137,0.818314,0.666284,
45000000,22500000,22500000,1,17,5603430,6935445,0.807941,0.667981,
45000000,22500000,22500000,1,18,5614932,7039976,0.797578,0.669352,
45000000,22500000,22500000,1,19,5627151,7146455,0.787405,0.670809,
45000000,22500000,22500000,1,20,5627620,7245489,0.776707,0.670865,
45000000,22500000,22500000,1,21,5616605,7328584,0.766397,0.669551,
45000000,22500000,22500000,1,22,5617448,7428270,0.756226,0.669652,
45000000,22500000,22500000,1,23,5619622,7518420,0.747447,0.669911,
45000000,22500000,22500000,1,24,5641061,7617591,0.740531,0.672467,
45000000,22500000,22500000,1,25,5645659,7712822,0.731984,0.673015,
45000000,22500000,22500000,1,26,5659441,7810511,0.724593,0.674658,
45000000,22500000,22500000,1,27,5662985,7903983,0.716472,0.67508,
45000000,22500000,22500000,1,28,5676711,8004987,0.709147,0.676717,
45000000,22500000,22500000,1,29,5691381,8108696,0.701886,0.678465,
45000000,22500000,22500000,1,30,5703105,8203993,0.695162,0.679863,
45000000,22500000,22500000,1,31,5708467,8302503,0.68756,0.680502,
45000000,22500000,22500000,1,32,5715748,8405509,0.68,0.68137,
45000000,22500000,22500000,1,33,5729971,8506727,0.673581,0.683066,
45000000,22500000,22500000,1,34,5744582,8611966,0.667047,0.684808,
45000000,22500000,22500000,1,35,5751918,8710796,0.660321,0.685682,
45000000,22500000,22500000,1,36,5753043,8806545,0.653269,0.685816,
45000000,22500000,22500000,1,37,5762930,8911908,0.646655,0.686995,
45000000,22500000,22500000,1,38,5774154,9014379,0.640549,0.688333,
45000000,22500000,22500000,1,39,5792350,9120478,0.635093,0.690502,
45000000,22500000,22500000,1,40,5788138,9212668,0.62828,0.69,
45000000,22500000,22500000,1,41,5796253,9314370,0.622291,0.690967,
45000000,22500000,22500000,1,42,5796357,9411695,0.615867,0.69098,
45000000,22500000,22500000,1,43,5807854,9507090,0.610897,0.69235,
45000000,22500000,22500000,1,44,5826775,9619399,0.605732,0.694606,
45000000,22500000,22500000,1,45,5841690,9722318,0.600854,0.696384,
45000000,22500000,22500000,1,46,5848319,9815753,0.59581,0.697174,
45000000,22500000,22500000,1,47,5850045,9921431,0.589637,0.69738,
45000000,22500000,22500000,1,48,5858431,10023548,0.584467,0.698379,
45000000,22500000,22500000,1,49,5884362,10134769,0.580611,0.701471,
45000000,22500000,22500000,1,50,5892156,10239342,0.575443,0.7024,
45000000,22500000,22500000,1,51,5890308,10329664,0.570232,0.702179,
45000000,22500000,22500000,1,52,5890113,10431893,0.564626,0.702156,
45000000,22500000,22500000,1,53,5886038,10524342,0.559278,0.70167,
45000000,22500000,22500000,1,54,5906650,10627706,0.555778,0.704128,
