initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
1000000,50000,950000,20,84.6179,164.4,99.5842,169.648,
1000000,100000,1900000,20,89.896,177.361,96.2633,199.019,
1000000,150000,2850000,20,92.1555,190.614,92.7846,210.141,
1000000,200000,3800000,20,88.3032,200.754,98.4969,217.537,
1000000,250000,4750000,20,88.3583,193.839,95.9413,231.299,
1000000,300000,5700000,20,90.2791,231.578,97.5246,234.752,
1000000,350000,6650000,20,85.553,234.885,102.412,244.074,
1000000,400000,7600000,20,89.8373,234.236,97.0463,247.902,
1000000,450000,8550000,20,87.9299,239.392,97.1197,254.397,
1000000,500000,9500000,20,90.5054,244.857,105.191,247.23,
1000000,550000,10450000,20,86.3794,245.867,103.556,240.459,
1000000,600000,11400000,20,92.6662,247.314,101.883,250.534,
1000000,650000,12350000,20,90.3643,251.23,100.507,251.758,
1000000,700000,13300000,20,84.802,240.219,101.708,249.186,
1000000,750000,14250000,20,93.1452,250.426,102.336,245.484,
1000000,800000,15200000,20,82.4037,248.447,99.2341,253.236,
1000000,850000,16150000,20,88.3547,251.539,93.9739,254.009,
1000000,900000,17100000,20,83.3995,250.749,95.5714,245.255,
1000000,950000,18050000,20,86.9203,244.762,96.577,251.035,
1000000,1000000,19000000,20,94.0019,254.254,95.497,238.395,
1000000,1050000,19950000,20,84.7828,249.382,99.3446,248.783,
1000000,1100000,20900000,20,94.3972,252.822,99.898,243.688,
1000000,1150000,21850000,20,85.2967,253.238,96.8365,249.462,
1000000,1200000,22800000,20,90.8367,256.168,96.365,247.059,
1000000,1250000,23750000,20,86.8998,256.684,99.5806,252.699,
1000000,1300000,24700000,20,88.7711,257.431,97.225,254.246,
1000000,1350000,25650000,20,85.9087,258.082,95.7292,247.528,
1000000,1400000,26600000,20,90.0551,264.304,101.225,249.68,
1000000,1450000,27550000,20,90.9509,261.09,104.102,248.022,
1000000,1500000,28500000,20,87.1219,257.715,97.7144,249.267,
1000000,1550000,29450000,20,92.6508,263.169,93.7353,255.944,
1000000,1600000,30400000,20,95.9715,269.913,97.0834,253.11,
1000000,1650000,31350000,20,87.4934,261.669,98.5844,252.454,
1000000,1700000,32300000,20,96.5971,265.544,99.6563,250.644,
1000000,1750000,33250000,20,85.1228,265.385,96.3588,252.242,
1000000,1800000,34200000,20,84.6113,261.477,98.9656,254.175,
1000000,1850000,35150000,20,84.0864,261.669,98.8279,255.706,
1000000,1900000,36100000,20,90.132,271.013,97.7379,254.834,
1000000,1950000,37050000,20,87.3874,255.961,100.138,252.55,
1000000,2000000,38000000,20,88.3459,265.538,98.6222,252.514,
1000000,2050000,38950000,20,95.672,271.197,102.235,255.178,
1000000,2100000,39900000,20,85.0294,269.748,97.9776,253.735,
1000000,2150000,40850000,20,85.7909,273.074,98.3402,255.294,
1000000,2200000,41800000,20,88.0361,272.655,102.972,251.507,
1000000,2250000,42750000,20,83.4341,265.116,93.7079,257.534,
