initial_tree_size,num_insertions,num_range_query,average_range_length,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
100000,2500000,2500000,4,20,14.3872,133.016,13.3508,234.476,
100000,2500000,2500000,8,20,14.417,130.423,15.3264,222.634,
100000,2500000,2500000,12,20,13.4393,127.072,15.3502,207.201,
100000,2500000,2500000,16,20,13.6749,130.796,15.6932,213.948,
100000,2500000,2500000,20,20,12.9044,130.681,16.2234,215.177,
100000,2500000,2500000,24,20,13.6428,134.313,16.8315,220.965,
100000,2500000,2500000,28,20,13.2042,128.348,14.9275,231.072,
100000,2500000,2500000,32,20,13.5301,118.4,14.3379,221.552,
100000,2500000,2500000,36,20,14.7205,122.646,15.3516,203.087,
100000,2500000,2500000,40,20,14.7322,124.37,15.1823,219.739,
100000,2500000,2500000,44,20,13.7585,128.679,16.7471,221.376,
100000,2500000,2500000,48,20,14.5112,127.876,14.4681,213.589,
100000,2500000,2500000,52,20,13.8145,124.164,14.4535,214.31,
100000,2500000,2500000,56,20,13.3629,126.135,15.8574,218.164,
100000,2500000,2500000,60,20,14.2409,124.781,16.0067,224.659,
100000,2500000,2500000,64,20,14.1872,121.258,15.4318,205.411,
100000,2500000,2500000,68,20,14.7758,121.738,16.6887,187.514,
100000,2500000,2500000,72,20,12.616,124.445,14.4682,195.838,
100000,2500000,2500000,76,20,13.559,124.793,16.3231,197.486,
100000,2500000,2500000,80,20,13.842,115.515,15.7213,235.409,
100000,2500000,2500000,84,20,12.8511,116.176,15.4313,203.356,
100000,2500000,2500000,88,20,14.3883,117.679,15.8631,220.29,
100000,2500000,2500000,92,20,13.2133,117.403,15.3323,214.267,
100000,2500000,2500000,96,20,13.8606,120.215,14.7392,224.132,
100000,2500000,2500000,100,20,14.958,117.723,14.8297,212.464,
100000,2500000,2500000,104,20,13.6683,119.857,14.7792,200.314,
100000,2500000,2500000,108,20,13.9325,118.099,15.2377,190.498,
100000,2500000,2500000,112,20,13.464,110.253,14.7242,200.529,
100000,2500000,2500000,116,20,12.5568,107.642,14.7574,201.055,
100000,2500000,2500000,120,20,13.7034,114.428,14.7311,219.333,
100000,2500000,2500000,124,20,13.3959,111.784,15.5177,213.506,
100000,2500000,2500000,128,20,13.2602,115.164,16.1569,199.821,
100000,2500000,2500000,132,20,14.6444,111.714,16.5252,193.036,
100000,2500000,2500000,136,20,12.708,110.443,16.7344,198.888,
100000,2500000,2500000,140,20,14.2295,105.633,14.7584,203.823,
100000,2500000,2500000,144,20,14.666,110.952,13.8594,199.362,
100000,2500000,2500000,148,20,14.0772,113.492,15.7293,212.568,
100000,2500000,2500000,152,20,12.8914,110.1,16.6756,197.545,
100000,2500000,2500000,156,20,15.5932,106.52,15.1526,198.568,
100000,2500000,2500000,160,20,14.6931,104.256,15.2755,190.105,
100000,2500000,2500000,164,20,14.802,105.705,13.8743,196.197,
100000,2500000,2500000,168,20,14.6573,106.597,16.6975,203.51,
100000,2500000,2500000,172,20,13.1857,106.289,16.7653,205.661,
100000,2500000,2500000,176,20,14.491,100.442,16.6122,195.863,
100000,2500000,2500000,180,20,14.2111,108.43,14.9048,194.592,
100000,2500000,2500000,184,20,13.3312,108.076,16.3821,191.525,
100000,2500000,2500000,188,20,14.1825,104.097,15.2798,188.768,
100000,2500000,2500000,192,20,14.9656,98.4494,14.4037,191.156,
100000,2500000,2500000,196,20,13.5592,100.604,15.5007,181.017,
100000,2500000,2500000,200,20,14.488,104.057,16.4572,193.455,
100000,2500000,2500000,204,20,13.7914,103.862,16.3153,180.602,
100000,2500000,2500000,208,20,13.276,99.7674,14.4988,182.875,
100000,2500000,2500000,212,20,13.5639,100.09,14.8972,177.303,
100000,2500000,2500000,216,20,13.6514,98.2045,15.4318,185.308,
100000,2500000,2500000,220,20,14.0812,101.74,14.5649,178.056,
100000,2500000,2500000,224,20,14.8398,99.2228,15.0902,178.423,
100000,2500000,2500000,228,20,13.5235,94.8314,15.7987,174.181,
100000,2500000,2500000,232,20,13.1914,97.5905,14.725,176.497,
100000,2500000,2500000,236,20,12.6882,94.369,14.9109,179.442,
100000,2500000,2500000,240,20,14.0574,95.798,16.5106,157.436,
100000,2500000,2500000,244,20,13.7111,92.9614,14.6333,174.479,
100000,2500000,2500000,248,20,14.0585,93.9193,16.3607,169.106,
100000,2500000,2500000,252,20,13.5073,96.0286,14.5842,157.086,
100000,2500000,2500000,256,20,13.3461,92.7746,15.1838,155.635,
100000,2500000,2500000,260,20,12.8952,94.2463,15.7838,157.293,
100000,2500000,2500000,264,20,13.5257,93.5918,16.308,153.707,
100000,2500000,2500000,268,20,14.3235,91.9992,16.5337,149.58,
100000,2500000,2500000,272,20,13.6609,91.0064,14.5562,141.922,
100000,2500000,2500000,276,20,13.2673,86.2231,14.8824,146.975,
100000,2500000,2500000,280,20,13.7393,87.7059,15.7679,144.66,
100000,2500000,2500000,284,20,13.2883,91.0784,14.9165,153.781,
100000,2500000,2500000,288,20,14.5564,87.4876,16.2525,141.277,
100000,2500000,2500000,292,20,13.6511,86.5831,17.0726,142.384,
100000,2500000,2500000,296,20,14.8343,86.4772,15.081,141.177,
100000,2500000,2500000,300,20,13.2588,88.8346,15.2556,144.146,
100000,2500000,2500000,304,20,13.9094,88.0159,15.7287,142.206,
100000,2500000,2500000,308,20,12.7018,84.2866,15.0866,144.146,
100000,2500000,2500000,312,20,14.3196,87.9853,16.3429,127.049,
100000,2500000,2500000,316,20,13.6749,85.8262,14.8103,134.561,
100000,2500000,2500000,320,20,13.9038,85.1634,16.0789,133.682,
100000,2500000,2500000,324,20,14.014,83.6885,14.3606,135.814,
100000,2500000,2500000,328,20,14.3649,83.2831,14.4298,135.974,
100000,2500000,2500000,332,20,14.1858,85.5576,15.5459,128.618,
100000,2500000,2500000,336,20,14.1004,82.4987,13.7351,130.33,
100000,2500000,2500000,340,20,13.1831,80.6461,15.0346,126.473,
100000,2500000,2500000,344,20,13.8368,83.2668,17.2834,128.188,
100000,2500000,2500000,348,20,15.3894,79.332,14.7834,123.194,
100000,2500000,2500000,352,20,12.8664,80.5553,13.9856,128.091,
100000,2500000,2500000,356,20,14.0457,81.1421,16.7751,123.562,
100000,2500000,2500000,360,20,14.0894,79.8625,13.7219,125.897,
100000,2500000,2500000,364,20,14.9551,76.374,16.0869,125.013,
100000,2500000,2500000,368,20,13.7449,78.0751,15.1736,126.73,
100000,2500000,2500000,372,20,13.3676,76.8094,15.6005,117.079,
100000,2500000,2500000,376,20,13.4727,75.5758,16.2687,120.875,
100000,2500000,2500000,380,20,13.7113,75.5085,14.8667,111.819,
100000,2500000,2500000,384,20,13.1575,71.7826,16.4555,120.082,
100000,2500000,2500000,388,20,14.934,70.6518,16.2461,116.641,
100000,2500000,2500000,392,20,13.2006,71.1528,13.6272,115.544,
100000,2500000,2500000,396,20,16.008,70.5458,15.029,118.208,
100000,2500000,2500000,400,20,13.4484,72.4114,13.9216,107.896,
100000,2500000,2500000,404,20,13.5245,69.6849,15.5408,112.344,
100000,2500000,2500000,408,20,13.813,69.5494,14.9972,113.94,
100000,2500000,2500000,412,20,14.8101,71.7247,17.0034,109.087,
100000,2500000,2500000,416,20,13.4115,68.4261,15.0448,113.935,
100000,2500000,2500000,420,20,14.2479,70.6291,16.5162,109.49,
100000,2500000,2500000,424,20,12.8934,69.7691,15.3138,109.415,
100000,2500000,2500000,428,20,12.4419,69.4792,15.0609,109.089,
100000,2500000,2500000,432,20,15.3549,68.263,16.5522,104.346,
100000,2500000,2500000,436,20,11.9657,66.5653,16.2039,104.406,
100000,2500000,2500000,440,20,13.6312,66.863,17.1715,104.665,
