num_keys,num_queries,num_experiments,exist_ratio,vblink_slab_in_place_insert,vblink_slab_in_place_find,vblink_bump_in_place_insert,vblink_bump_in_place_find,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_find,vblink_bump_out_of_place_insert,vblink_bump_out_of_place_find,blink_slab_insert,blink_slab_find,blink_bump_insert,blink_bump_find,
1000000,1000000,20,1,80.3835,1800.1,87.2083,2091.59,51.7365,1785.16,59.068,2097.41,81.5848,2003.01,75.152,2321.27,
2000000,2000000,20,1,110.278,1786.04,124.793,2043.55,65.4986,1782.29,90.3919,2011.56,126.838,1811.47,126.525,2092.59,
3000000,3000000,20,1,139.503,1756.67,153.926,1964.19,77.2042,1750.32,101.476,1929.2,143.972,1786.51,155.385,2018.11,
4000000,4000000,20,1,154.344,1732.22,177.172,1902.94,83.4016,1720.17,113.412,1862.47,163.16,1766.65,174.797,1961.42,
5000000,5000000,20,1,163.964,1701.09,193.925,1849.55,86.3328,1690.43,123.114,1815.34,174.548,1738.43,193.259,1911.79,
6000000,6000000,20,1,178.102,1675.45,201.373,1807.78,80.1428,1663.04,124.666,1770.74,186.338,1713.39,214.333,1867.29,
7000000,7000000,20,1,184.534,1652.47,223.777,1768.31,91.0807,1638.37,127.453,1735.12,199.871,1692.21,223.342,1831.88,
8000000,8000000,20,1,191.271,1617.04,231.319,1714.49,92.5242,1607.79,133.405,1701.24,208.598,1671.91,230.871,1799.99,
9000000,9000000,20,1,197.858,1545.32,233.419,1657.16,93.9743,1521.23,135.059,1636.56,212.613,1652.64,242.842,1771.22,
10000000,10000000,20,1,204.255,1514.65,238.172,1630.28,94.5151,1505.94,136.018,1608.01,217.46,1631.12,251.956,1743.18,
11000000,11000000,20,1,207.575,1504.37,247.132,1609.93,95.6815,1495.63,139.05,1588.6,224.247,1619.09,253.852,1719.2,
12000000,12000000,20,1,208.86,1491.41,248.156,1589.83,95.8203,1481.31,140.564,1570.81,229.986,1600.15,257.216,1698.01,
13000000,13000000,20,1,211.954,1477,250.834,1573.93,96.1818,1467.84,141.378,1555.97,228.759,1570.36,265.556,1673.85,
14000000,14000000,20,1,215.573,1472.7,258.662,1558.62,97.0703,1463.41,141.158,1539.43,235.578,1556.43,270.903,1646.98,
