initial_tree_size,num_updates,num_queries,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
45000000,500000,500000,20,248.644,301.395,275.372,300.448,
45000000,1000000,1000000,20,248.877,337.61,276.137,381.176,
45000000,1500000,1500000,20,247.349,335.44,274.669,381.487,
45000000,2000000,2000000,20,249.813,353.079,271.955,395.706,
45000000,2500000,2500000,20,245.933,336.767,274.17,405.51,
45000000,3000000,3000000,20,247.211,346.589,275.115,423.693,
45000000,3500000,3500000,20,247.191,355.1,276.062,405.123,
45000000,4000000,4000000,20,249.37,357.404,273.915,414.089,
45000000,4500000,4500000,20,247.81,349.541,272.186,411.709,
45000000,5000000,5000000,20,247.928,361.197,274.239,421.719,
45000000,5500000,5500000,20,249.233,349.3,276.539,435.848,
45000000,6000000,6000000,20,248.263,357.951,274.99,403.801,
45000000,6500000,6500000,20,248.121,354.566,276.018,426.221,
45000000,7000000,7000000,20,246.918,356.922,273.553,409.87,
45000000,7500000,7500000,20,249.181,358.084,275.862,413.251,
45000000,8000000,8000000,20,247.85,361.408,274.573,416.079,
45000000,8500000,8500000,20,247.82,364.218,277.232,417.094,
45000000,9000000,9000000,20,248.197,357.394,276.628,441.811,
45000000,9500000,9500000,20,249.492,367.247,275.118,401.359,
45000000,10000000,10000000,20,248.341,364.79,272.982,409.013,
45000000,10500000,10500000,20,246.554,363.035,274.462,397.328,
45000000,11000000,11000000,20,247.572,362.452,274.732,427.397,
45000000,11500000,11500000,20,248.556,358.012,276.316,402.159,
45000000,12000000,12000000,20,247.239,358.69,273.231,423.085,
45000000,12500000,12500000,20,249.121,357.112,275.167,398.686,
45000000,13000000,13000000,20,249.659,364.306,278.337,414.847,
45000000,13500000,13500000,20,248.551,366.113,275.155,417.031,
45000000,14000000,14000000,20,249.029,365.394,273.664,407.342,
45000000,14500000,14500000,20,248.405,366.328,270.684,377.518,
45000000,15000000,15000000,20,249.657,359.482,276.243,411.514,
45000000,15500000,15500000,20,248.587,360.608,271.688,389.733,
45000000,16000000,16000000,20,249.71,362.094,277.003,402.745,
45000000,16500000,16500000,20,249.418,364.228,272.231,391.338,
45000000,17000000,17000000,20,247.207,359.596,275.754,417.233,
45000000,17500000,17500000,20,249.864,366.435,276.824,405.214,
45000000,18000000,18000000,20,247.508,368.564,276.311,404.825,
45000000,18500000,18500000,20,249.147,359.019,277.713,418.752,
45000000,19000000,19000000,20,249.492,362.202,275.596,418.014,
45000000,19500000,19500000,20,247.945,364.417,275.025,425.183,
45000000,20000000,20000000,20,249.378,364.921,277.097,397.881,
45000000,20500000,20500000,20,248.523,362.568,276.046,406.129,
45000000,21000000,21000000,20,248.886,361.335,275.078,410.499,
45000000,21500000,21500000,20,248.284,369.646,272.448,385.977,
45000000,22000000,22000000,20,247.077,360.331,272.114,398.272,
45000000,22500000,22500000,20,248.32,367.554,276.161,424.173,
