initial_tree_size,num_insertions,num_range_query,num_experiments,epoch_number,pointers_count,pointers_allocated_total,ratio,tree_gibs,
45000000,18000000,2000000,1,0,5190237,5190237,1,0.618724,
45000000,18000000,2000000,1,1,5324269,5324269,1,0.634702,
45000000,18000000,2000000,1,2,5428297,5428300,0.999999,0.647103,
45000000,18000000,2000000,1,3,5454583,5533009,0.985826,0.650237,
45000000,18000000,2000000,1,4,5479386,5638192,0.971834,0.653194,
45000000,18000000,2000000,1,5,5507011,5751910,0.957423,0.656487,
45000000,18000000,2000000,1,6,5519299,5860223,0.941824,0.657952,
45000000,18000000,2000000,1,7,5530065,5970231,0.926273,0.659235,
45000000,18000000,2000000,1,8,5533936,6075660,0.910837,0.659697,
45000000,18000000,2000000,1,9,5544824,6186762,0.89624,0.660995,
45000000,18000000,2000000,1,10,5543443,6283533,0.882218,0.66083,
45000000,18000000,2000000,1,11,5552063,6389467,0.86894,0.661857,
45000000,18000000,2000000,1,12,5562424,6499326,0.855846,0.663093,
45000000,18000000,2000000,1,13,5581117,6607769,0.84463,0.665321,
45000000,18000000,2000000,1,14,5593306,6716301,0.832796,0.666774,
45000000,18000000,2000000,1,15,5600774,6825268,0.820594,0.667664,
45000000,18000000,2000000,1,16,5614803,6937845,0.809301,0.669337,
45000000,18000000,2000000,1,17,5623538,7047034,0.798001,0.670378,
45000000,18000000,2000000,1,18,5639290,7164538,0.787111,0.672256,
45000000,18000000,2000000,1,19,5646064,7272980,0.776307,0.673063,
45000000,18000000,2000000,1,20,5661809,7389432,0.766204,0.67494,
45000000,18000000,2000000,1,21,5662096,7494304,0.75552,0.674974,
45000000,18000000,2000000,1,22,5670980,7602054,0.74598,0.676033,
45000000,18000000,2000000,1,23,5671507,7711293,0.735481,0.676096,
45000000,18000000,2000000,1,24,5683710,7819530,0.726861,0.677551,
45000000,18000000,2000000,1,25,5691918,7927446,0.718001,0.67853,
45000000,18000000,2000000,1,26,5697687,8032655,0.709316,0.679217,
45000000,18000000,2000000,1,27,5703741,8135391,0.701102,0.679939,
45000000,18000000,2000000,1,28,5714809,8246229,0.693021,0.681258,
45000000,18000000,2000000,1,29,5730182,8358464,0.685554,0.683091,
45000000,18000000,2000000,1,30,5746589,8468095,0.678617,0.685047,
45000000,18000000,2000000,1,31,5756259,8578079,0.671043,0.6862,
45000000,18000000,2000000,1,32,5777418,8704478,0.663729,0.688722,
45000000,18000000,2000000,1,33,5795409,8821570,0.656959,0.690867,
45000000,18000000,2000000,1,34,5807516,8936616,0.649856,0.69231,
45000000,18000000,2000000,1,35,5807386,9050070,0.641695,0.692294,
45000000,18000000,2000000,1,36,5812236,9162250,0.634368,0.692873,
45000000,18000000,2000000,1,37,5814545,9268629,0.627336,0.693148,
45000000,18000000,2000000,1,38,5807424,9363346,0.62023,0.692299,
45000000,18000000,2000000,1,39,5811126,9470846,0.61358,0.69274,
45000000,18000000,2000000,1,40,5830727,9585423,0.608291,0.695077,
45000000,18000000,2000000,1,41,5846798,9692558,0.603225,0.696993,
45000000,18000000,2000000,1,42,5855792,9799402,0.597566,0.698065,
45000000,18000000,2000000,1,43,5863232,9912210,0.591516,0.698952,
45000000,18000000,2000000,1,44,5871924,10016307,0.586236,0.699988,
45000000,18000000,2000000,1,45,5884811,10125602,0.581181,0.701524,
45000000,18000000,2000000,1,46,5876807,10218061,0.575139,0.70057,
45000000,18000000,2000000,1,47,5894720,10333424,0.570452,0.702705,
45000000,18000000,2000000,1,48,5913052,10449054,0.565894,0.704891,
45000000,18000000,2000000,1,49,5941594,10569362,0.562153,0.708293,
45000000,18000000,2000000,1,50,5938195,10670753,0.556493,0.707888,
45000000,18000000,2000000,1,51,5941219,10777077,0.551283,0.708248,
45000000,18000000,2000000,1,52,5932714,10877883,0.545392,0.707235,
45000000,18000000,2000000,1,53,5936151,10975623,0.540849,0.707644,
45000000,18000000,2000000,1,54,5947523,11081893,0.536688,0.709,
45000000,18000000,2000000,1,55,5956818,11182419,0.532695,0.710108,
45000000,18000000,2000000,1,56,5974144,11292946,0.529016,0.712173,
45000000,18000000,2000000,1,57,5984944,11396122,0.525174,0.713461,
45000000,18000000,2000000,1,58,6003124,11510864,0.521518,0.715628,
45000000,18000000,2000000,1,59,6013421,11618611,0.517568,0.716856,
45000000,18000000,2000000,1,60,6019027,11720465,0.513548,0.717524,
45000000,18000000,2000000,1,61,6015994,11820108,0.508963,0.717162,
45000000,18000000,2000000,1,62,6018554,11922426,0.50481,0.717468,
45000000,18000000,2000000,1,63,6027247,12025321,0.501213,0.718504,
45000000,18000000,2000000,1,64,6043983,12134075,0.4981,0.720499,
45000000,18000000,2000000,1,65,6050544,12235842,0.494493,0.721281,
45000000,18000000,2000000,1,66,6058481,12336373,0.491107,0.722227,
45000000,18000000,2000000,1,67,6067319,12446231,0.487482,0.723281,
45000000,18000000,2000000,1,68,6073336,12542605,0.484216,0.723998,
45000000,18000000,2000000,1,69,6085222,12646132,0.481192,0.725415,
45000000,18000000,2000000,1,70,6086299,12743796,0.477589,0.725543,
45000000,18000000,2000000,1,71,6103190,12850662,0.474932,0.727557,
45000000,18000000,2000000,1,72,6111541,12954735,0.471761,0.728552,
45000000,18000000,2000000,1,73,6118902,13051086,0.468842,0.72943,
45000000,18000000,2000000,1,74,6129414,13159977,0.465762,0.730683,
45000000,18000000,2000000,1,75,6143172,13269847,0.462942,0.732323,
45000000,18000000,2000000,1,76,6161739,13377783,0.460595,0.734537,
45000000,18000000,2000000,1,77,6179604,13494724,0.457927,0.736666,
45000000,18000000,2000000,1,78,6184871,13600985,0.454737,0.737294,
45000000,18000000,2000000,1,79,6217749,13732407,0.452779,0.741213,
45000000,18000000,2000000,1,80,6219284,13841220,0.449331,0.741396,
45000000,18000000,2000000,1,81,6231289,13951982,0.446624,0.742828,
45000000,18000000,2000000,1,82,6215579,14053675,0.442274,0.740955,
45000000,18000000,2000000,1,83,6230863,14168913,0.439756,0.742777,
45000000,18000000,2000000,1,84,6230177,14268327,0.436644,0.742695,
45000000,18000000,2000000,1,85,6255237,14386841,0.434789,0.745682,
45000000,18000000,2000000,1,86,6258711,14496485,0.43174,0.746096,
45000000,18000000,2000000,1,87,6280711,14609833,0.429896,0.748719,
45000000,18000000,2000000,1,88,6275284,14712757,0.42652,0.748072,
45000000,18000000,2000000,1,89,6288276,14826972,0.424111,0.749621,
45000000,18000000,2000000,1,90,6292161,14932711,0.421368,0.750084,
45000000,18000000,2000000,1,91,6314383,15050019,0.41956,0.752733,
45000000,18000000,2000000,1,92,6322055,15159485,0.417036,0.753648,
45000000,18000000,2000000,1,93,6327363,15265469,0.414489,0.75428,
45000000,18000000,2000000,1,94,6333732,15380854,0.411793,0.75504,
45000000,18000000,2000000,1,95,6350198,15494558,0.409834,0.757003,
45000000,18000000,2000000,1,96,6364243,15603602,0.40787,0.758677,
45000000,18000000,2000000,1,97,6368624,15715576,0.405243,0.759199,
45000000,18000000,2000000,1,98,6381998,15830156,0.403154,0.760793,
45000000,18000000,2000000,1,99,6388243,15937456,0.400832,0.761538,
45000000,18000000,2000000,1,100,6390903,16042747,0.398367,0.761855,
45000000,18000000,2000000,1,101,6390286,16146020,0.395781,0.761781,
45000000,18000000,2000000,1,102,6411459,16265597,0.394173,0.764305,
45000000,18000000,2000000,1,103,6424972,16374058,0.392387,0.765916,
45000000,18000000,2000000,1,104,6450604,16496399,0.391031,0.768972,
45000000,18000000,2000000,1,105,6453992,16608832,0.388588,0.769376,
45000000,18000000,2000000,1,106,6459066,16713814,0.386451,0.769981,
45000000,18000000,2000000,1,107,6461008,16826334,0.383982,0.770212,
45000000,18000000,2000000,1,108,6471418,16937456,0.382077,0.771453,
45000000,18000000,2000000,1,109,6490338,17053413,0.380589,0.773709,
45000000,18000000,2000000,1,110,6495798,17161572,0.378508,0.774359,
45000000,18000000,2000000,1,111,6504950,17273188,0.376592,0.77545,
45000000,18000000,2000000,1,112,6511049,17384383,0.374534,0.776178,
45000000,18000000,2000000,1,113,6518359,17491877,0.372651,0.777049,
45000000,18000000,2000000,1,114,6520761,17594631,0.370611,0.777335,
45000000,18000000,2000000,1,115,6532373,17709337,0.368866,0.77872,
45000000,18000000,2000000,1,116,6559092,17834681,0.367772,0.781905,
45000000,18000000,2000000,1,117,6570382,17939938,0.366243,0.783251,
45000000,18000000,2000000,1,118,6562506,18036228,0.363851,0.782312,
45000000,18000000,2000000,1,119,6553864,18140146,0.361291,0.781281,
45000000,18000000,2000000,1,120,6561608,18245924,0.35962,0.782205,
45000000,18000000,2000000,1,121,6575654,18351452,0.358318,0.783879,
45000000,18000000,2000000,1,122,6593544,18463604,0.35711,0.786012,
45000000,18000000,2000000,1,123,6603901,18570512,0.355612,0.787246,
45000000,18000000,2000000,1,124,6619800,18682501,0.354332,0.789142,
45000000,18000000,2000000,1,125,6627070,18792158,0.352651,0.790008,
45000000,18000000,2000000,1,126,6643010,18905058,0.351388,0.791909,
45000000,18000000,2000000,1,127,6649074,19012486,0.349721,0.792631,
45000000,18000000,2000000,1,128,6644989,19107817,0.347763,0.792144,
45000000,18000000,2000000,1,129,6643372,19208743,0.345851,0.791952,
45000000,18000000,2000000,1,130,6654081,19314857,0.344506,0.793228,
45000000,18000000,2000000,1,131,6664555,19414327,0.34328,0.794477,
45000000,18000000,2000000,1,132,6688150,19529194,0.342469,0.79729,
45000000,18000000,2000000,1,133,6695661,19631766,0.341063,0.798185,
45000000,18000000,2000000,1,134,6713200,19740399,0.340074,0.800276,
45000000,18000000,2000000,1,135,6718860,19850698,0.33847,0.800951,
45000000,18000000,2000000,1,136,6726157,19951831,0.33712,0.80182,
45000000,18000000,2000000,1,137,6749337,20074563,0.336213,0.804584,
45000000,18000000,2000000,1,138,6750287,20174237,0.334599,0.804697,
45000000,18000000,2000000,1,139,6748218,20264171,0.333012,0.80445,
45000000,18000000,2000000,1,140,6738465,20363301,0.330912,0.803288,
45000000,18000000,2000000,1,141,6752705,20469945,0.329884,0.804985,
45000000,18000000,2000000,1,142,6770012,20574038,0.329056,0.807048,
45000000,18000000,2000000,1,143,6781338,20676387,0.327975,0.808398,
45000000,18000000,2000000,1,144,6781307,20773433,0.326441,0.808395,
45000000,18000000,2000000,1,145,6789056,20875464,0.325217,0.809319,
45000000,18000000,2000000,1,146,6798263,20978580,0.324057,0.810416,
45000000,18000000,2000000,1,147,6814535,21084868,0.323196,0.812356,
45000000,18000000,2000000,1,148,6822549,21183355,0.322071,0.813311,
45000000,18000000,2000000,1,149,6827696,21283732,0.320794,0.813925,
