initial_tree_size,num_insertions,num_range_query,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
1000000,50000,950000,20,78.1214,155.093,92.8241,169.047,
1000000,100000,1900000,20,83.5589,207.196,87.3274,209.652,
1000000,150000,2850000,20,81.8716,210.665,87.5781,218.704,
1000000,200000,3800000,20,82.3955,185.677,90.7756,215.607,
1000000,250000,4750000,20,78.6728,222.04,88.6788,205.926,
1000000,300000,5700000,20,75.7354,207.144,82.3877,208.068,
1000000,350000,6650000,20,79.1134,208.786,88.1807,220.784,
1000000,400000,7600000,20,83.4743,218.008,94.6462,223.95,
1000000,450000,8550000,20,78.6285,219.879,92.3765,219.253,
1000000,500000,9500000,20,78.7949,227.591,84.1479,209.743,
1000000,550000,10450000,20,77.2328,223.35,84.6233,217.84,
1000000,600000,11400000,20,77.9871,229.668,88.8797,221.453,
1000000,650000,12350000,20,76.1148,219.383,87.5558,235.459,
1000000,700000,13300000,20,87.489,228.298,88.5107,216.239,
1000000,750000,14250000,20,80.0799,227.236,89.7562,225.718,
1000000,800000,15200000,20,79.9556,224.825,90.6297,226.746,
1000000,850000,16150000,20,86.2966,236.946,85.2306,227.458,
1000000,900000,17100000,20,78.9786,224.713,90.6094,223.411,
1000000,950000,18050000,20,86.7157,233.978,86.9023,221.779,
1000000,1000000,19000000,20,80.5289,235.681,80.2112,229.942,
1000000,1050000,19950000,20,80.2664,241.803,89.8486,228.725,
1000000,1100000,20900000,20,88.0541,234.847,86.6104,230.406,
1000000,1150000,21850000,20,82.1482,233.919,90.7662,224.814,
1000000,1200000,22800000,20,80.1185,230.081,93.2609,227.87,
1000000,1250000,23750000,20,80.8962,236.837,86.9739,227.861,
1000000,1300000,24700000,20,74.7397,236.803,85.0623,227.622,
1000000,1350000,25650000,20,82.3213,238.835,80.564,225.037,
1000000,1400000,26600000,20,81.0489,237.489,85.4306,221.653,
1000000,1450000,27550000,20,80.0827,235.848,84.3237,224.801,
1000000,1500000,28500000,20,77.5575,239.706,85.0418,225.129,
1000000,1550000,29450000,20,83.753,236.988,89.0125,225.965,
1000000,1600000,30400000,20,80.5254,239.733,89.0784,227.604,
1000000,1650000,31350000,20,82.3278,237.028,88.1571,226.425,
1000000,1700000,32300000,20,81.6929,239.716,85.5564,229.607,
1000000,1750000,33250000,20,79.8025,240.931,90.0463,231.377,
1000000,1800000,34200000,20,83.6602,240.075,89.6204,227.198,
1000000,1850000,35150000,20,82.0204,240.124,90.9905,227.129,
1000000,1900000,36100000,20,79.0494,242.237,83.7073,230.784,
1000000,1950000,37050000,20,79.4289,234.63,86.2286,223.101,
1000000,2000000,38000000,20,78.8417,241.99,89.0723,225.629,
1000000,2050000,38950000,20,77.8423,239.618,92.6492,222.904,
1000000,2100000,39900000,20,78.4067,242.167,93.3008,218.999,
1000000,2150000,40850000,20,78.1933,243.339,86.309,221.921,
1000000,2200000,41800000,20,80.9906,242.052,85.8037,226.005,
1000000,2250000,42750000,20,81.1766,244.616,85.3403,225.648,
