initial_tree_size,num_insertions,num_range_query,average_range_length,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
100000,2500000,2500000,4,20,13.9802,126.902,13.7292,211.243,
100000,2500000,2500000,8,20,11.6355,126.67,14.078,198.205,
100000,2500000,2500000,12,20,12.1066,119.795,13.2775,215.757,
100000,2500000,2500000,16,20,12.8522,115.911,14.7049,191.555,
100000,2500000,2500000,20,20,12.8758,117.86,13.8254,185.719,
100000,2500000,2500000,24,20,13.4683,109.677,13.5358,200.01,
100000,2500000,2500000,28,20,11.8421,116.78,14.6883,168.479,
100000,2500000,2500000,32,20,13.6874,117.31,13.7325,194.27,
100000,2500000,2500000,36,20,12.3457,110.925,13.4147,186.3,
100000,2500000,2500000,40,20,13.3965,111.667,13.8242,194.817,
100000,2500000,2500000,44,20,12.2552,111.776,13.7722,197.865,
100000,2500000,2500000,48,20,12.603,114.829,12.0453,208.092,
100000,2500000,2500000,52,20,12.3142,111.32,13.8829,202.005,
100000,2500000,2500000,56,20,13.1024,113.586,13.5584,204.677,
100000,2500000,2500000,60,20,13.0417,105.99,13.3454,213.265,
100000,2500000,2500000,64,20,13.1315,114.921,13.3523,191.493,
100000,2500000,2500000,68,20,11.5544,109.581,14.8226,203.455,
100000,2500000,2500000,72,20,13.4079,105.338,14.1091,204.151,
100000,2500000,2500000,76,20,10.5629,108.489,13.3079,185.583,
100000,2500000,2500000,80,20,11.4318,110.602,14.0974,196.377,
100000,2500000,2500000,84,20,12.857,112.719,12.9567,192.213,
100000,2500000,2500000,88,20,11.4455,105.558,13.6481,202.703,
100000,2500000,2500000,92,20,11.913,109.682,14.5328,191.305,
100000,2500000,2500000,96,20,11.6964,103.067,13.0012,191.519,
100000,2500000,2500000,100,20,11.1383,103.847,13.4977,186.925,
100000,2500000,2500000,104,20,13.4423,101.031,14.5937,197.816,
100000,2500000,2500000,108,20,12.6176,100.682,13.1946,172.329,
100000,2500000,2500000,112,20,12.8715,98.189,14.649,173.339,
100000,2500000,2500000,116,20,12.8101,101.498,13.1389,184.219,
100000,2500000,2500000,120,20,12.5042,102.194,13.7557,190.65,
100000,2500000,2500000,124,20,12.4717,105.01,14.1809,190.368,
100000,2500000,2500000,128,20,12.8631,99.0199,13.2415,185.733,
100000,2500000,2500000,132,20,13.2149,101.197,14.4695,169.203,
100000,2500000,2500000,136,20,12.9895,98.1894,13.8836,191.157,
100000,2500000,2500000,140,20,11.337,98.4906,12.8249,183.069,
100000,2500000,2500000,144,20,12.8107,100.258,13.3236,175.986,
100000,2500000,2500000,148,20,13.1832,99.3511,14.5356,176.843,
100000,2500000,2500000,152,20,13.7026,98.1032,12.5117,180.668,
100000,2500000,2500000,156,20,12.1006,91.2694,14.744,198.575,
100000,2500000,2500000,160,20,11.7375,96.9317,14.0338,174.201,
100000,2500000,2500000,164,20,10.7544,95.1329,15.6895,170.456,
100000,2500000,2500000,168,20,11.5352,96.2275,12.8756,172.538,
100000,2500000,2500000,172,20,11.4493,91.3408,14.3946,164.292,
100000,2500000,2500000,176,20,13.7677,97.1643,14.3074,178.461,
100000,2500000,2500000,180,20,12.1409,90.149,14.4928,178.395,
100000,2500000,2500000,184,20,13.2589,92.32,12.9142,180.912,
100000,2500000,2500000,188,20,12.8084,91.6796,14.8718,178.797,
100000,2500000,2500000,192,20,11.7116,91.8294,13.7716,170.282,
100000,2500000,2500000,196,20,12.7213,92.4252,14.6498,178.198,
100000,2500000,2500000,200,20,11.9452,93.8487,13.6638,161.328,
100000,2500000,2500000,204,20,14.1725,91.0904,14.5305,161.122,
100000,2500000,2500000,208,20,12.8281,90.2031,13.4017,155.417,
100000,2500000,2500000,212,20,12.3979,90.9686,13.183,166.001,
100000,2500000,2500000,216,20,12.3766,90.3545,14.3152,156.02,
100000,2500000,2500000,220,20,13.3461,86.3548,11.744,160.18,
100000,2500000,2500000,224,20,13.1605,87.827,13.4139,170.046,
100000,2500000,2500000,228,20,11.6275,88.7847,14.2214,154.214,
100000,2500000,2500000,232,20,14.1147,85.3141,13.9062,155.1,
100000,2500000,2500000,236,20,12.7932,86.7108,13.864,158.336,
100000,2500000,2500000,240,20,12.5644,87.1643,14.1895,157.396,
100000,2500000,2500000,244,20,11.8171,86.0255,14.7123,150.184,
