initial_tree_size,num_insertions,num_range_query,average_range_length,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
40000000,2500000,2500000,4,20,256.592,126.076,285.872,226.176,
40000000,2500000,2500000,8,20,255.797,125.316,265.998,202.106,
40000000,2500000,2500000,12,20,258.738,121.486,288.313,213.894,
40000000,2500000,2500000,16,20,258.655,121.087,288.534,217.821,
40000000,2500000,2500000,20,20,257.714,119.471,286.534,208.229,
40000000,2500000,2500000,24,20,256.929,116.214,288.194,212.441,
40000000,2500000,2500000,28,20,258.34,117.575,288.623,217.437,
40000000,2500000,2500000,32,20,260.393,115.67,289.44,216.974,
40000000,2500000,2500000,36,20,257.966,109.249,287.967,201.503,
40000000,2500000,2500000,40,20,256.141,112.106,289.174,211.826,
40000000,2500000,2500000,44,20,259.674,107.663,288.832,202.325,
40000000,2500000,2500000,48,20,258.763,107.945,289.063,188.577,
40000000,2500000,2500000,52,20,258.262,108.045,288.104,204.271,
40000000,2500000,2500000,56,20,257.99,106.906,289.626,187.7,
40000000,2500000,2500000,60,20,256.641,103.624,284.379,201.621,
40000000,2500000,2500000,64,20,256.184,104.645,284.169,199.813,
40000000,2500000,2500000,68,20,259.153,104.592,288.888,193.691,
40000000,2500000,2500000,72,20,255.759,103.381,287.011,184.724,
40000000,2500000,2500000,76,20,258.378,101.237,284.552,194.4,
40000000,2500000,2500000,80,20,257.275,101.974,286.168,195.128,
40000000,2500000,2500000,84,20,258.343,101.328,290.124,193.924,
40000000,2500000,2500000,88,20,257.331,99.3412,287.039,189.5,
40000000,2500000,2500000,92,20,257.346,99.2534,287.723,191.404,
40000000,2500000,2500000,96,20,258.826,98.7656,287.133,185.501,
40000000,2500000,2500000,100,20,256.834,95.7451,284.14,186.741,
40000000,2500000,2500000,104,20,259.448,92.8956,285.782,179.736,
40000000,2500000,2500000,108,20,259.529,96.7302,289.7,180.977,
40000000,2500000,2500000,112,20,259.237,95.8495,287.877,178.711,
40000000,2500000,2500000,116,20,255.924,94.6141,287.25,165.071,
40000000,2500000,2500000,120,20,257.863,94.7395,288.923,160.096,
40000000,2500000,2500000,124,20,257.338,92.9381,285.838,167.429,
40000000,2500000,2500000,128,20,257.406,91.37,285.717,163.439,
40000000,2500000,2500000,132,20,257.449,92.5291,288.303,154.402,
40000000,2500000,2500000,136,20,257.438,92.5448,289.238,153.351,
40000000,2500000,2500000,140,20,257.014,91.7067,287.167,151.339,
40000000,2500000,2500000,144,20,256.502,91.9399,287.462,150.445,
40000000,2500000,2500000,148,20,258.042,89.4186,287.16,146.852,
40000000,2500000,2500000,152,20,260.149,90.387,287.5,135.98,
40000000,2500000,2500000,156,20,258.455,89.2656,288.305,142.995,
40000000,2500000,2500000,160,20,257.538,87.1556,288.326,140.825,
40000000,2500000,2500000,164,20,256.695,87.4358,288.919,137.242,
40000000,2500000,2500000,168,20,256.535,88.4092,286.214,135.336,
40000000,2500000,2500000,172,20,257.328,88.2037,287.944,133.343,
40000000,2500000,2500000,176,20,256.997,84.9642,290.288,123.745,
40000000,2500000,2500000,180,20,256.16,87.2031,287.508,128.571,
40000000,2500000,2500000,184,20,257.411,86.2552,285.446,127.226,
40000000,2500000,2500000,188,20,256.448,83.622,286.621,121.99,
40000000,2500000,2500000,192,20,257.83,86.1592,289.207,124.01,
40000000,2500000,2500000,196,20,257.244,85.5436,285.311,121.826,
40000000,2500000,2500000,200,20,257.166,84.2815,286.642,116.159,
40000000,2500000,2500000,204,20,258.15,84.9508,284.83,119.435,
40000000,2500000,2500000,208,20,256.21,84.3884,287.567,117.966,
40000000,2500000,2500000,212,20,255.539,84.027,285.928,114.473,
40000000,2500000,2500000,216,20,256.49,83.3596,286.342,113.805,
40000000,2500000,2500000,220,20,256.189,82.8075,287.766,111.187,
40000000,2500000,2500000,224,20,256.086,82.3537,285.99,108.354,
40000000,2500000,2500000,228,20,257.309,81.1517,289.575,108.285,
40000000,2500000,2500000,232,20,254.856,80.9317,288.301,108.765,
40000000,2500000,2500000,236,20,257.636,79.9254,289.42,108.088,
40000000,2500000,2500000,240,20,258.969,77.1692,288.185,107.651,
40000000,2500000,2500000,244,20,255.259,78.5869,286.225,104.724,
40000000,2500000,2500000,248,20,256.079,76.8561,288.218,105.47,
40000000,2500000,2500000,252,20,257.026,74.8592,287.364,99.3366,
40000000,2500000,2500000,256,20,258.738,75.2687,289.455,103.882,
40000000,2500000,2500000,260,20,257.061,75.5379,288.977,101.833,
40000000,2500000,2500000,264,20,257.744,74.8924,287.411,101.804,
40000000,2500000,2500000,268,20,257.664,74.8894,285.535,100.328,
40000000,2500000,2500000,272,20,257.497,74.1782,289.799,99.7168,
40000000,2500000,2500000,276,20,259.097,72.0889,288.387,97.0385,
40000000,2500000,2500000,280,20,257.48,72.6626,285.488,96.7033,
40000000,2500000,2500000,284,20,255.672,71.9112,282.481,96.7393,
40000000,2500000,2500000,288,20,258.861,70.5837,284.069,96.5461,
40000000,2500000,2500000,292,20,257.64,70.8846,288.919,94.1362,
40000000,2500000,2500000,296,20,256.599,70.4384,287.148,91.9856,
40000000,2500000,2500000,300,20,255.852,69.6116,288.001,90.8484,
40000000,2500000,2500000,304,20,255.599,68.9297,286.626,92.2863,
40000000,2500000,2500000,308,20,257.228,68.5833,284.169,91.0584,
40000000,2500000,2500000,312,20,257.969,66.7518,287.527,88.2624,
40000000,2500000,2500000,316,20,257.07,67.6034,289.761,89.7898,
40000000,2500000,2500000,320,20,257.316,66.35,287.014,89.9379,
40000000,2500000,2500000,324,20,255.697,64.9132,284.107,88.0782,
40000000,2500000,2500000,328,20,257.721,65.6251,287.794,85.8794,
40000000,2500000,2500000,332,20,257.384,65.315,286.61,87.6755,
40000000,2500000,2500000,336,20,258.196,63.7136,287.95,83.7381,
40000000,2500000,2500000,340,20,257.087,62.6691,287.61,84.0875,
40000000,2500000,2500000,344,20,256.794,63.2339,287.31,85.3362,
40000000,2500000,2500000,348,20,257.013,62.4333,288.615,84.5077,
40000000,2500000,2500000,352,20,257.803,60.9063,286.832,84.3964,
40000000,2500000,2500000,356,20,257.15,62.3168,285.872,83.6212,
40000000,2500000,2500000,360,20,256.963,61.656,287.51,83.4009,
40000000,2500000,2500000,364,20,259.31,61.5004,288.696,82.5011,
40000000,2500000,2500000,368,20,256.921,60.1264,288.015,80.5103,
40000000,2500000,2500000,372,20,257.592,60.79,284.355,81.2601,
40000000,2500000,2500000,376,20,258.865,60.2333,286.39,81.0674,
40000000,2500000,2500000,380,20,257.667,59.3889,289.961,80.1801,
40000000,2500000,2500000,384,20,258.439,59.01,287.434,79.9797,
40000000,2500000,2500000,388,20,258.596,58.605,288.883,78.978,
40000000,2500000,2500000,392,20,259.555,58.518,288.185,78.9243,
40000000,2500000,2500000,396,20,258.503,58.0968,287.35,78.2321,
40000000,2500000,2500000,400,20,265.832,56.9325,296.042,80.1089,
40000000,2500000,2500000,404,20,257.939,57.1356,289,77.084,
40000000,2500000,2500000,408,20,256.605,56.857,288.173,75.6602,
40000000,2500000,2500000,412,20,261.929,55.8247,293.187,76.8825,
40000000,2500000,2500000,416,20,265.825,56.0939,297.517,76.6407,
40000000,2500000,2500000,420,20,258.447,54.8482,284.474,74.4333,
40000000,2500000,2500000,424,20,267.322,55.3806,296.738,77.0488,
40000000,2500000,2500000,428,20,264.551,54.8957,295.632,73.3229,
40000000,2500000,2500000,432,20,257.707,53.2847,289.175,72.2612,
40000000,2500000,2500000,436,20,256.84,54.0269,288.464,72.1635,
40000000,2500000,2500000,440,20,264.058,52.1295,286.144,71.5947,
40000000,2500000,2500000,444,20,257.189,52.611,288.67,71.9289,
40000000,2500000,2500000,448,20,256.015,52.62,282.595,71.9256,
40000000,2500000,2500000,452,20,258.072,52.483,285.184,71.2463,
40000000,2500000,2500000,456,20,258.453,52.4487,287.46,70.2513,
40000000,2500000,2500000,460,20,257.66,51.6603,285.537,67.9468,
40000000,2500000,2500000,464,20,258.351,51.7434,285.855,69.03,
40000000,2500000,2500000,468,20,257.264,50.9354,288.904,69.3825,
40000000,2500000,2500000,472,20,258.062,50.0242,287.006,69.0633,
40000000,2500000,2500000,476,20,257.952,50.5418,289.317,68.7605,
40000000,2500000,2500000,480,20,259.132,49.7549,289.348,68.5896,
40000000,2500000,2500000,484,20,256.688,49.874,287.031,66.7235,
40000000,2500000,2500000,488,20,255.492,49.0269,286.588,67.3711,
40000000,2500000,2500000,492,20,257.034,48.2529,284.769,67.1498,
40000000,2500000,2500000,496,20,258.349,49.0514,286.879,66.8925,
40000000,2500000,2500000,500,20,256.505,48.8525,286.396,65.7481,
40000000,2500000,2500000,504,20,256.982,48.2379,284.53,65.603,
40000000,2500000,2500000,508,20,257.801,48.3379,289.436,65.0039,
40000000,2500000,2500000,512,20,259.227,47.6335,287.612,65.5184,
40000000,2500000,2500000,516,20,260.355,46.4009,288.304,63.8607,
40000000,2500000,2500000,520,20,257.249,47.3579,284.067,64.348,
40000000,2500000,2500000,524,20,257.309,47.1327,287.754,63.9911,
40000000,2500000,2500000,528,20,257.965,45.9547,289.022,63.7384,
40000000,2500000,2500000,532,20,257.792,46.5252,287.499,62.065,
40000000,2500000,2500000,536,20,256.801,46.3034,286.449,62.1783,
40000000,2500000,2500000,540,20,258.978,45.5755,288.079,62.5352,
40000000,2500000,2500000,544,20,256.257,45.8045,285.405,61.7054,
40000000,2500000,2500000,548,20,258.469,45.5264,288.257,60.9398,
40000000,2500000,2500000,552,20,255.673,45.2211,284.817,61.6521,
40000000,2500000,2500000,556,20,259.206,44.4351,287.313,61.2602,
40000000,2500000,2500000,560,20,256.357,44.5337,286.359,59.8543,
40000000,2500000,2500000,564,20,258.913,44.2682,287.834,60.5354,
40000000,2500000,2500000,568,20,257.243,44.2661,286.578,58.9894,
40000000,2500000,2500000,572,20,257.649,44.012,287.001,59.3878,
40000000,2500000,2500000,576,20,255.837,43.8036,283.965,59.7301,
40000000,2500000,2500000,580,20,255.915,43.6099,287.596,59.3317,
40000000,2500000,2500000,584,20,256.677,43.2717,286.236,58.0245,
40000000,2500000,2500000,588,20,256.943,42.6606,287.68,58.2722,
40000000,2500000,2500000,592,20,258.327,41.4917,289.667,57.6669,
40000000,2500000,2500000,596,20,258.582,42.3733,287.167,57.9947,
40000000,2500000,2500000,600,20,257.587,42.4651,288.949,57.4796,
40000000,2500000,2500000,604,20,257.572,42.0684,286.715,56.6769,
40000000,2500000,2500000,608,20,257.901,42.0069,289.443,57.2571,
40000000,2500000,2500000,612,20,263.286,41.8826,291.777,59.2986,
40000000,2500000,2500000,616,20,257.587,41.1976,283.861,54.9164,
40000000,2500000,2500000,620,20,265.695,41.0976,299.494,57.6297,
40000000,2500000,2500000,624,20,258.972,40.7276,288.409,56.093,
40000000,2500000,2500000,628,20,265.774,40.8171,297.033,57.8528,
